Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
Art Teacher,Fine Arts Instructor,BCA,0 to 8 Years,Rabat,Morocco,Contract,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity.",$61K-$105K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
SEO Specialist,Content SEO Strategist,BBA,5 to 8 Years,Bern,Switzerland,Contract,"Content SEO Strategists create SEO strategies specifically for content, focusing on keyword integration, content quality, and user engagement to boost organic traffic.",$64K-$126K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Marketing Analyst,Data Analyst,MBA,1 to 10 Years,Amman,Jordan,Full-Time,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.",$57K-$81K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
UI Developer,Front-End Developer,M.Tech,0 to 13 Years,Tripoli,Libya,Intern,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,$59K-$95K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
IT Manager,IT Director,MCA,4 to 9 Years,Niamey,Niger,Temporary,"An IT Director oversees an organizations IT department and technology infrastructure. They develop IT strategies, manage budgets, and ensure IT systems support business objectives.",$57K-$95K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Market Research Analyst,Market Researcher,MBA,2 to 9 Years,Rabat,Morocco,Temporary,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",$63K-$99K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
SEM Specialist,SEM Analyst,BCA,4 to 13 Years,Roseau,Dominica,Temporary,"SEM Analysts analyze search engine marketing (SEM) campaigns. They monitor performance, optimize keyword strategies, and provide insights to improve the effectiveness of SEM efforts.",$57K-$96K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Marketing Coordinator,Event Marketing Coordinator,M.Com,2 to 13 Years,Vienna,Austria,Contract,"Event Marketing Coordinators focus on marketing events, including trade shows, exhibitions, and product launches, to maximize attendance and engagement.",$59K-$116K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
UX Researcher,User Researcher,BA,1 to 8 Years,San Jose,Costa Rica,Contract,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.",$61K-$101K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
UX/UI Designer,User Experience Designer,BCA,3 to 10 Years,San Marino,San Marino,Intern,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.",$61K-$108K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Pediatrician,Pediatric Surgeon,M.Tech,3 to 8 Years,Kathmandu,Nepal,Part-Time,"Pediatric Surgeons specialize in performing surgical procedures on children, including infants and adolescents. They diagnose surgical conditions, perform surgeries, and collaborate with other healthcare professionals to ensure the best outcomes.",$56K-$104K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Systems Analyst,Business Systems Analyst,B.Tech,5 to 8 Years,City of Baghdad,Iraq,Contract,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.",$58K-$103K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Legal Secretary,Court Clerk,B.Com,2 to 8 Years,Port of Spain,Trinidad and Tobago,Part-Time,"A Court Clerk manages administrative tasks within a court system, including maintaining court records, scheduling hearings, and assisting judges and legal professionals as needed.",$65K-$105K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Financial Controller,Finance Manager,MBA,0 to 15 Years,Jerusalem,Israel,Full-Time,"Finance Managers oversee an organizations financial operations, including budgeting, financial reporting, and investment management. They analyze financial data, make strategic financial decisions, and ensure compliance with financial regulations.",$57K-$93K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
IT Support Specialist,Desktop Support Technician,BCA,2 to 10 Years,Hagatna,Guam,Contract,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.",$55K-$108K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Executive Assistant,Office Manager,B.Tech,0 to 9 Years,Saint John's,Antigua and Barbuda,Contract,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.",$55K-$89K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Physician Assistant,Primary Care Physician Assistant,BBA,5 to 10 Years,Victoria,Seychelles,Contract,"Provide medical care under the supervision of physicians, conduct examinations, diagnose and treat patients.",$55K-$109K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Marketing Manager,Product Marketing Manager,MBA,4 to 11 Years,Maputo,Mozambique,Temporary,"Product Marketing Managers promote and market products or services. They create marketing strategies, conduct market research, develop messaging, and collaborate with cross-functional teams to launch and promote products effectively in the market.",$59K-$108K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Financial Analyst,Financial Planner,M.Tech,5 to 9 Years,Bandar Seri Begawan,Brunei,Part-Time,"Financial Planners help clients achieve their financial goals by providing personalized financial advice and investment strategies. They assess clients financial situations, develop financial plans, and offer recommendations on savings, investments, and retirement planning.",$65K-$125K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Veterinarian,Equine Veterinarian,PhD,1 to 10 Years,City of Victoria,"Hong Kong SAR, China",Intern,"An Equine Veterinarian specializes in the health and well-being of horses. They diagnose and treat equine illnesses, perform surgeries, and provide preventive care for horses.",$58K-$82K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Pediatrician,Pediatric Surgeon,BBA,2 to 15 Years,Tbilisi,Georgia,Part-Time,"Pediatric Surgeons specialize in performing surgical procedures on children, including infants and adolescents. They diagnose surgical conditions, perform surgeries, and collaborate with other healthcare professionals to ensure the best outcomes.",$65K-$122K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Network Engineer,Network Administrator,M.Com,5 to 15 Years,Port Vila,Vanuatu,Temporary,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.",$59K-$99K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Electrical Designer,Electrical Engineer,PhD,1 to 14 Years,Vaduz,Liechtenstein,Intern,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",$63K-$101K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Database Administrator,Database Security Specialist,PhD,5 to 15 Years,Tunis,Tunisia,Full-Time,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,$64K-$122K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Procurement Manager,Procurement Analyst,BA,0 to 13 Years,Panama City,Panama,Intern,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",$56K-$112K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Architect,Architectural Designer,M.Com,0 to 15 Years,Bandar Seri Begawan,Brunei,Intern,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.",$56K-$121K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Network Engineer,Network Administrator,MBA,2 to 11 Years,Canberra,Australia,Part-Time,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.",$61K-$84K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Web Developer,Frontend Web Developer,BBA,3 to 14 Years,Copenhagen,Denmark,Temporary,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.",$62K-$117K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
